name,id,folderId
SYSTEM - Phone 1 and Phone 2 Exact,1,16410
SYSTEM - Dormant_Untag Selected for Campaign,5,17395
TeleQueue App1 and TM Status,8,17310
SYSTEM - Email Address Validation (Created),12,16410
TeleQueue CDO Update,64,17310
TeleQueue Feeder,85,17310
TeleQueue Remove Call List,86,17310
TeleQueue Remove Feeder,96,17310
SYSTEM - Inactivate DACH contacts with Email,98,16410
SYSTEM - Dormant Tagging,100,17395
SYSTEM - Dormant_Inactivate Non Responsive& Reason_Inactivity,106,17395
SYSTEM - Dormant Inactivate Contacts_Unsubscribe,107,17395
TeleQueue No region Korea,111,17310
System - Untag App1 Campaigns,112,16410
TeleQueue Blank 0 from Phone1 & Phone2,113,17310
TeleQueue CDO Field Cleaner,115,17310
TeleQueue Field Cleaner,116,17310
TeleQueue Remove from CDO,117,17310
TeleQueue Remove from CDO Feeder,118,17310
SYSTEM - LinkedIn App Tagging,120,16410
SYSTEM - New Contacts Processing,121,16410
SYSTEM - topKA TM follow-up,124,16410
SYSTEM - INDx Entry Program,127,17312
SYSTEM - INDx Exit Program,128,17312
SYSTEM - New Contacts Processing GNF Cold Leads,130,17312
SYSTEM - GNF TM Follow-up,136,17312
SYSTEM - Master_ID Assign,137,16410
SYSTEM - Pre-Dormant Tagging_ongoing,139,18502
eNewsletter - Language/Country and Time Split,142,18529
GLF-SYS-LegalBasisAssignment-LegitimateInterest,155,16410
GLF-SYS-InactivatePrivateEmails-GDPR,156,16410
GLF-SYS-LegalBasisAssignment-BlankLegitimateInterest,158,16410
